"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.ADJUST_FINAL_PID: 358:367","1700","ADJUST_FINAL_PID.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: ADJUST_FINAL_PID.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.ADJUST_FINAL_PID: 490:493","1700","ADJUST_FINAL_PID.STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: ADJUST_FINAL_PID.STMT","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 69:130","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 190:219","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 304:334","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 420:450","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 536:566","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 713:719","1700","CLEAN_TABLES.CLEANUP","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CLEAN_TABLES.CLEANUP","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 735:759","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 845:869","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 955:986","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 1078:1109","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 1201:1230","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 1321:1350","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CLEAN_TABLES: 1440:1484","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_NODE_PART: 42:66","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_NODE_PART: 142:193","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_RESTRICTED_EDGES: 217:248","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_RESTRICTED_EDGES: 331:393","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_RESTRICTED_EDGES: 1656:1663","1700","CREATE_RESTRICTED_EDGES.INS_STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: CREATE_RESTRICTED_EDGES.INS_STMT","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_RESTRICTED_NODES: 49:80","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_RESTRICTED_NODES: 163:225","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 113:168","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 309:350","1700","MDSYS.SDO_ROUTER_PARTITION.CONSTRAINT_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.CONSTRAINT_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 465:504","1700","MDSYS.SDO_ROUTER_PARTITION.CONSTRAINT_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.CONSTRAINT_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 617:644","1700","MDSYS.SDO_ROUTER_PARTITION.CONSTRAINT_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.CONSTRAINT_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 854:882","1700","MDSYS.SDO_ROUTER_PARTITION.INDEX_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.INDEX_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 967:1002","1700","MDSYS.SDO_ROUTER_PARTITION.INDEX_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.INDEX_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 1254:1278","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 1354:1399","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 2091:2152","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 2232:2295","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 2388:2451","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 2544:2608","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 2708:2772","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 2947:3028","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 3033:3060","1700","MDSYS.SDO_ROUTER_PARTITION.UPDATE_NODE_PART_EDGE_ARRAYS()","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.UPDATE_NODE_PART_EDGE_ARRAYS()","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 3066:3088","1700","MDSYS.SDO_ROUTER_PARTITION.CREATE_RESTRICTED_NODES()","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.CREATE_RESTRICTED_NODES()","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 3165:3236","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 3665:3719","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 3909:3948","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 4210:4271","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 4461:4496","1700","MDSYS.SDO_ROUTER_PARTITION.INDEX_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.INDEX_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 4585:4654","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 4887:4948","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 5101:5162","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 5171:5200","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 5586:5647","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.CREATE_SUPER_TABLES: 5656:5685","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.GRAPH_PARTITION: 356:379","1700","MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.TABLE_EXISTS(VARCHAR2)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.GRAPH_PARTITION: 369:378","1700","GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.GRAPH_PARTITION: 402:459","1700","MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MDSYS.SDO_ROUTER_PARTITION.LOG_MESSAGE(VARCHAR2,BOOLEAN)","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.GRAPH_PARTITION: 427:436","1700","GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.GRAPH_PARTITION: 568:577","1700","GRAPH_PARTITION.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: GRAPH_PARTITION.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.GRAPH_PARTITION: 601:604","1700","GRAPH_PARTITION.STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: GRAPH_PARTITION.STMT","null","Try to replace the reference to the object manually.","","Simple"
